id,amount_tsh,existing year,funder,gps_height,installer,num_private,basin,subvillage,region,population,public_meeting,recorded_by,scheme_management,permit,extraction_type_class,management_group,payment_type,water_quality,quantity,source_class,waterpoint_type_group
44607,1000.0,27.0,Danida,1625,DANID,0,Rufiji,Winome,Iringa,1.0,True,GeoData Consultants Ltd,VWC,True,gravity,user-group,monthly,soft,enough,groundwater,communal standpipe
40228,1200.0,24.0,Danida,916,DWE,0,Ruvuma / Southern Coast,Mkulu,Ruvuma,<built-in function zeros>,True,GeoData Consultants Ltd,VWC,True,gravity,user-group,annually,soft,enough,surface,communal standpipe
27714,0.0,unknown,unknown,-39,unknown,0,Rufiji,Barabarani,Pwani,900.0,True,GeoData Consultants Ltd,VWC,False,handpump,user-group,never pay,soft,enough,groundwater,hand pump
28785,200.0,33.0,Government Of Tanzania,1793,DWE,0,Pangani,Magagai 2,Tanga,1.0,True,GeoData Consultants Ltd,VWC,True,gravity,user-group,monthly,soft,enough,groundwater,communal standpipe
28330,0.0,unknown,Rural Water Supply And Sanitat,0,DWE,0,Lake Tanganyika,Bumbaaga A,Shinyanga,<built-in function zeros>,True,GeoData Consultants Ltd,Parastatal,True,gravity,parastatal,unknown,soft,seasonal,surface,communal standpipe
18532,0.0,31.0,Finw,368,FinW,0,Ruvuma / Southern Coast,Liponde A,Mtwara,300.0,True,GeoData Consultants Ltd,Water Board,True,submersible,user-group,never pay,soft,dry,groundwater,communal standpipe
69961,0.0,3.0,0,-27,0,0,Wami / Ruvu,Kisiwani,Dar es Salaam,120.0,True,GeoData Consultants Ltd,SWC,False,submersible,other,never pay,soft,enough,groundwater,communal standpipe
55083,0.0,3.0,Dwe,1674,DWE,0,Rufiji,Matewele,Iringa,30.0,True,GeoData Consultants Ltd,VWC,False,gravity,user-group,never pay,soft,insufficient,groundwater,communal standpipe
8691,0.0,8.0,Tasaf,1087,DWE,0,Lake Tanganyika,Kibondo,Kigoma,1750.0,True,GeoData Consultants Ltd,VWC,True,other,user-group,unknown,milky,enough,groundwater,other
30331,0.0,43.0,unknown,1441,unknown,0,Internal,Muhintiri,Singida,1.0,True,GeoData Consultants Ltd,VWC,unknown,motorpump,user-group,unknown,unknown,dry,groundwater,communal standpipe
70970,0.0,unknown,Mwanashila,0,DWE,0,Lake Victoria,Ging'Hi,Shinyanga,<built-in function zeros>,True,GeoData Consultants Ltd,WUG,False,handpump,user-group,never pay,soft,enough,groundwater,hand pump
61136,200.0,3.0,Tz Japan,1726,DWE,0,Rufiji,Mpeto A,Iringa,50.0,True,GeoData Consultants Ltd,VWC,False,gravity,user-group,monthly,soft,enough,groundwater,communal standpipe
28799,0.0,4.0,Germany,986,DWE,0,Ruvuma / Southern Coast,Mabatini,Ruvuma,<built-in function zeros>,True,GeoData Consultants Ltd,VWC,True,gravity,user-group,never pay,soft,dry,surface,communal standpipe
46825,0.0,unknown,Water,0,MWE &,0,Wami / Ruvu,Chididimo,Dodoma,<built-in function zeros>,True,GeoData Consultants Ltd,VWC,False,motorpump,user-group,per bucket,salty,dry,groundwater,communal standpipe
44718,0.0,unknown,Dwsp,0,DWE,0,Lake Victoria,Nkonze,Shinyanga,<built-in function zeros>,True,GeoData Consultants Ltd,WUG,False,handpump,user-group,on failure,salty abandoned,enough,groundwater,hand pump
37350,0.0,11.0,Bffs,1309,BFFS,0,Internal,Mapinduzi,Manyara,860.0,True,GeoData Consultants Ltd,VWC,False,gravity,user-group,never pay,soft,seasonal,surface,communal standpipe
65738,5.0,11.0,Private Individual,1564,Dmdd,0,Internal,Dofa,Arusha,200.0,True,GeoData Consultants Ltd,VWC,True,gravity,user-group,per bucket,soft,enough,surface,communal standpipe
3271,0.0,unknown,Government Of Tanzania,0,DWE,0,Internal,Selemi,Tabora,<built-in function zeros>,False,GeoData Consultants Ltd,VWC,True,motorpump,user-group,never pay,soft,enough,groundwater,communal standpipe
42658,0.0,unknown,Tlc,0,TLC,0,Lake Tanganyika,Idete,Tabora,<built-in function zeros>,True,GeoData Consultants Ltd,VWC,True,handpump,user-group,never pay,soft,seasonal,groundwater,hand pump
67523,20.0,15.0,Private Individual,1537,Dmdd,0,Internal,Kinihe,Arusha,300.0,True,GeoData Consultants Ltd,VWC,True,gravity,user-group,per bucket,coloured,enough,surface,communal standpipe
37034,500.0,33.0,Unicef,1489,DWE,0,Rufiji,Ujindile Kati,Iringa,360.0,True,GeoData Consultants Ltd,WUA,True,gravity,user-group,monthly,soft,enough,surface,communal standpipe
42432,500.0,33.0,Unicef,1798,DWE,0,Rufiji,Ngelele,Iringa,45.0,True,GeoData Consultants Ltd,WUA,True,gravity,user-group,monthly,soft,enough,surface,communal standpipe
27420,0.0,40.0,Mkinga Distric Coun,0,DWE,0,Pangani,Mavovo,Tanga,200.0,True,GeoData Consultants Ltd,VWC,True,gravity,user-group,never pay,coloured,insufficient,groundwater,communal standpipe
707,1000.0,41.0,Government Of Tanzania,1642,Central govt,3,Pangani,Chumvu Juu,Kilimanjaro,45.0,True,GeoData Consultants Ltd,WUA,False,gravity,user-group,monthly,soft,enough,groundwater,communal standpipe
48489,0.0,27.0,Nethalan,362,DWE,0,Wami / Ruvu,Msufini,Morogoro,1.0,True,GeoData Consultants Ltd,VWC,True,gravity,user-group,never pay,soft,insufficient,surface,communal standpipe
51008,0.0,unknown,Danida,0,DANIDA,0,Lake Rukwa,Idugumbe,Mbeya,<built-in function zeros>,True,GeoData Consultants Ltd,VWC,False,gravity,user-group,on failure,soft,dry,surface,communal standpipe
72562,50.0,7.0,Jaica,128,Jaica,0,Ruvuma / Southern Coast,Zambia,Mtwara,400.0,True,GeoData Consultants Ltd,VWC,True,submersible,user-group,per bucket,soft,enough,groundwater,communal standpipe
10275,0.0,28.0,Government Of Tanzania,216,DWE,0,Pangani,Mashuini,Tanga,120.0,True,GeoData Consultants Ltd,VWC,False,handpump,user-group,never pay,soft,insufficient,groundwater,hand pump
53540,0.0,unknown,World Bank,0,World Bank,0,Lake Victoria,Kaselya,Shinyanga,<built-in function zeros>,True,GeoData Consultants Ltd,VWC,True,other,user-group,never pay,soft,enough,groundwater,communal standpipe
43291,0.0,unknown,Rotary Club,0,Rotary club,0,Lake Victoria,Nyasambi,Mwanza,<built-in function zeros>,True,GeoData Consultants Ltd,VWC,True,handpump,user-group,never pay,unknown,dry,groundwater,hand pump
8813,0.0,unknown,Ministry Of Water,0,DWE,0,Lake Victoria,Isunda,Mwanza,<built-in function zeros>,True,GeoData Consultants Ltd,VWC,True,submersible,user-group,per bucket,soft,enough,surface,communal standpipe
62343,0.0,unknown,Government Of Tanzania,0,Central Government,0,Rufiji,Iduda,Mbeya,<built-in function zeros>,True,GeoData Consultants Ltd,VWC,True,gravity,user-group,on failure,soft,dry,surface,communal standpipe
1649,0.0,unknown,Morovian,0,Morovian,0,Lake Tanganyika,Ugowola A,Tabora,<built-in function zeros>,True,GeoData Consultants Ltd,VWC,True,handpump,user-group,on failure,soft,enough,groundwater,hand pump
8822,50.0,6.0,Isf/government,1010,ISF/Government,0,Pangani,Kigogo,Kilimanjaro,180.0,True,GeoData Consultants Ltd,Water authority,True,submersible,user-group,per bucket,salty,insufficient,groundwater,communal standpipe
10352,0.0,unknown,Rc Church,0,RC Church,0,Rufiji,Matwalani,Mbeya,<built-in function zeros>,False,GeoData Consultants Ltd,VWC,False,gravity,user-group,on failure,soft,enough,surface,communal standpipe
50878,0.0,unknown,Government Of Tanzania,0,Government,0,Lake Victoria,Mwankali,Shinyanga,<built-in function zeros>,True,GeoData Consultants Ltd,Water authority,False,gravity,commercial,monthly,soft,enough,surface,communal standpipe
15266,0.0,unknown,unknown,0,unknown,0,Lake Nyasa,Kisungu,Mbeya,<built-in function zeros>,True,GeoData Consultants Ltd,VWC,unknown,gravity,user-group,never pay,soft,enough,groundwater,communal standpipe
51956,0.0,37.0,Government Of Tanzania,1190,DWE,0,Pangani,Usagara,Tanga,1.0,True,GeoData Consultants Ltd,VWC,True,gravity,user-group,never pay,soft,enough,groundwater,communal standpipe
44099,1500.0,21.0,Danida,642,DANIDA,0,Ruvuma / Southern Coast,Njawanga,Ruvuma,1.0,True,GeoData Consultants Ltd,VWC,False,handpump,user-group,monthly,soft,insufficient,groundwater,hand pump
59,0.0,unknown,Dwssp,0,DWE,0,Internal,Sengerema,Shinyanga,<built-in function zeros>,True,GeoData Consultants Ltd,VWC,True,gravity,user-group,per bucket,soft,insufficient,groundwater,communal standpipe
51359,0.0,11.0,Jica,-5,DWE,0,Ruvuma / Southern Coast,Msiteteme,Lindi,530.0,unknown,GeoData Consultants Ltd,VWC,False,submersible,user-group,unknown,soft,unknown,groundwater,communal standpipe
15962,0.0,unknown,Hesawa,0,Hesawa,0,Lake Victoria,Nyang'Hulukulu,Mwanza,<built-in function zeros>,True,GeoData Consultants Ltd,VWC,True,other,user-group,unknown,unknown,dry,groundwater,other
17853,0.0,12.0,Hesawa,1226,DWE,0,Lake Victoria,Kulutale,Mwanza,1200.0,True,GeoData Consultants Ltd,unknown,True,gravity,user-group,never pay,soft,insufficient,groundwater,improved spring
42040,0.0,43.0,Government Of Tanzania,1387,Government,0,Pangani,Kanisani,Kilimanjaro,1.0,True,GeoData Consultants Ltd,WUA,True,gravity,user-group,never pay,soft,insufficient,groundwater,communal standpipe
72243,0.0,23.0,Danida,805,DANIDA,0,Rufiji,Namikurumo,Ruvuma,250.0,True,GeoData Consultants Ltd,WUG,False,handpump,user-group,on failure,soft,enough,groundwater,hand pump
63653,0.0,9.0,World Bank,1544,DWE,0,Pangani,Afya,Arusha,200.0,True,GeoData Consultants Ltd,VWC,True,gravity,user-group,never pay,soft,insufficient,groundwater,communal standpipe
26510,0.0,unknown,World Vision,0,World vision,0,Internal,Ishima,Shinyanga,<built-in function zeros>,True,GeoData Consultants Ltd,WUG,False,handpump,user-group,other,soft,enough,groundwater,hand pump
72053,0.0,unknown,Concern,0,TWESA,0,Lake Victoria,Kumgogola,Kagera,<built-in function zeros>,True,GeoData Consultants Ltd,VWC,False,gravity,user-group,never pay,soft,insufficient,groundwater,other
29351,500.0,1.0,People Of Japan,1369,Grobal resource alliance,0,Lake Victoria,Sori,Mara,560.0,True,GeoData Consultants Ltd,VWC,True,handpump,user-group,monthly,soft,enough,groundwater,hand pump
51897,0.0,23.0,unknown,1584,unknown,0,Internal,Makiungu,Singida,1.0,True,GeoData Consultants Ltd,VWC,unknown,other,user-group,unknown,unknown,dry,groundwater,other
20376,2400.0,unknown,Danida,1609,DWE,0,Rufiji,M,Iringa,<built-in function zeros>,True,GeoData Consultants Ltd,VWC,True,handpump,user-group,annually,soft,enough,groundwater,hand pump
26804,1000.0,1.0,Solidarm,334,DWE,0,Rufiji,Iragua Kati,Morogoro,230.0,True,GeoData Consultants Ltd,unknown,True,handpump,user-group,monthly,soft,enough,groundwater,hand pump
67303,0.0,25.0,Government Of Tanzania,1070,DWE,0,Pangani,Upendo,Arusha,150.0,True,GeoData Consultants Ltd,VWC,True,gravity,user-group,never pay,soft,enough,groundwater,other
69780,0.0,51.0,Government Of Tanzania,1286,District council,0,Pangani,Kala,Kilimanjaro,1.0,True,GeoData Consultants Ltd,Company,True,gravity,commercial,monthly,soft,insufficient,groundwater,communal standpipe
45374,0.0,unknown,Dwsp,0,DWE,0,Lake Victoria,Magua,Mwanza,<built-in function zeros>,unknown,GeoData Consultants Ltd,WUG,False,handpump,user-group,unknown,soft,enough,groundwater,hand pump
54665,7.0,5.0,Germany Republi,1624,CES,0,Pangani,Nshironi,Kilimanjaro,1.0,True,GeoData Consultants Ltd,Water Board,True,gravity,user-group,per bucket,soft,enough,groundwater,communal standpipe
39341,500.0,35.0,Government Of Tanzania,1282,Government,0,Lake Tanganyika,Mugera,Kigoma,950.0,True,GeoData Consultants Ltd,Water authority,False,submersible,user-group,other,soft,enough,groundwater,communal standpipe
8869,500.0,27.0,Danida,462,DANIDA,0,Ruvuma / Southern Coast,Ujiranimwema,Ruvuma,1.0,True,GeoData Consultants Ltd,VWC,False,gravity,user-group,monthly,soft,enough,surface,communal standpipe
20691,0.0,unknown,Kkkt,0,KKKT,0,Lake Rukwa,Nandago,Mbeya,<built-in function zeros>,True,GeoData Consultants Ltd,VWC,False,handpump,user-group,on failure,soft,insufficient,groundwater,hand pump
19693,0.0,5.0,Adra,1571,Adra,0,Internal,Sharaman,Manyara,221.0,True,GeoData Consultants Ltd,VWC,True,gravity,user-group,never pay,soft,dry,groundwater,communal standpipe
14321,0.0,26.0,Rudep,1546,DWE,0,Lake Rukwa,Legeza Mwendo B,Rukwa,50.0,True,GeoData Consultants Ltd,VWC,False,handpump,user-group,never pay,soft,enough,groundwater,hand pump
63059,0.0,unknown,Government Of Tanzania,0,Government,0,Lake Victoria,Mwenge,Shinyanga,<built-in function zeros>,True,GeoData Consultants Ltd,WUG,False,gravity,user-group,per bucket,soft,insufficient,groundwater,communal standpipe
67403,1000.0,2.0,Government Of Tanzania,-7,DWE,0,Pangani,Kigombe Magharibi,Tanga,25.0,True,GeoData Consultants Ltd,VWC,False,gravity,user-group,never pay,soft,insufficient,groundwater,communal standpipe
28912,7.0,5.0,Germany Republi,1133,CES,0,Pangani,Rambo,Kilimanjaro,125.0,True,GeoData Consultants Ltd,Water Board,True,gravity,user-group,per bucket,soft,enough,groundwater,communal standpipe
12549,0.0,unknown,World Bank,0,Gove,0,Internal,Mapang,Dodoma,<built-in function zeros>,True,GeoData Consultants Ltd,VWC,True,motorpump,user-group,per bucket,soft,enough,groundwater,communal standpipe
24328,500.0,41.0,Government Of Tanzania,900,Central govt,0,Pangani,Mashine,Kilimanjaro,80.0,True,GeoData Consultants Ltd,Water Board,True,gravity,user-group,monthly,soft,insufficient,groundwater,other
13750,0.0,unknown,Water Aid /sema,0,Water aid /sema,0,Lake Tanganyika,Magharibi A,Tabora,<built-in function zeros>,True,GeoData Consultants Ltd,VWC,True,handpump,user-group,never pay,soft,enough,groundwater,hand pump
1574,0.0,42.0,Government Of Tanzania,1237,DWE,0,Pangani,Balazani,Tanga,1.0,True,GeoData Consultants Ltd,VWC,True,gravity,user-group,never pay,soft,enough,groundwater,communal standpipe
44149,0.0,unknown,Hesawa,0,DWE,0,Lake Victoria,Bunazi A,Kagera,<built-in function zeros>,True,GeoData Consultants Ltd,VWC,True,handpump,user-group,never pay,soft,insufficient,groundwater,hand pump
53917,0.0,unknown,Hesawa,0,DWE,0,Lake Victoria,Omukarubumba,Kagera,<built-in function zeros>,True,GeoData Consultants Ltd,WUA,True,gravity,user-group,annually,soft,enough,groundwater,communal standpipe
22705,0.0,6.0,Government Of Tanzania,1388,Community,0,Pangani,Arauyo,Arusha,98.0,True,GeoData Consultants Ltd,VWC,True,gravity,user-group,unknown,soft,insufficient,groundwater,communal standpipe
66465,0.0,unknown,Rural Water Supply And Sanitat,0,DWE,0,Lake Tanganyika,Nyang'Holongo,Shinyanga,<built-in function zeros>,True,GeoData Consultants Ltd,Parastatal,True,gravity,parastatal,unknown,soft,seasonal,surface,communal standpipe
15644,0.0,unknown,Tasaf,0,DWE,0,Lake Victoria,Kaalilo,Kagera,<built-in function zeros>,True,GeoData Consultants Ltd,VWC,True,gravity,user-group,never pay,soft,insufficient,surface,communal standpipe
20773,0.0,unknown,Government Of Tanzania,0,Centr,0,Internal,Gwandi - Kati,Dodoma,<built-in function zeros>,True,GeoData Consultants Ltd,VWC,False,motorpump,user-group,never pay,soft,enough,groundwater,communal standpipe
33092,0.0,unknown,Rc,774,RC,0,Rufiji,Kikoboga,Morogoro,300.0,unknown,GeoData Consultants Ltd,Other,True,gravity,other,never pay,soft,enough,groundwater,communal standpipe
54392,7500.0,1.0,Professor Ben Ohio University,677,District Council,0,Pangani,Njia Panda,Kilimanjaro,320.0,True,GeoData Consultants Ltd,Private operator,False,motorpump,commercial,annually,unknown,enough,surface,communal standpipe
37850,50.0,1.0,Kibaha Town Council,105,DWE,0,Wami / Ruvu,Mwendapole B,Pwani,1.0,True,GeoData Consultants Ltd,Water authority,True,motorpump,user-group,per bucket,soft,enough,surface,communal standpipe
5576,2000.0,3.0,Idydc,1764,IDYDC,0,Rufiji,Uhananya,Iringa,1.0,True,GeoData Consultants Ltd,VWC,True,handpump,user-group,never pay,soft,enough,groundwater,hand pump
60840,0.0,15.0,Ministry Of Water,1182,DWE,0,Internal,Senta,Manyara,72.0,True,GeoData Consultants Ltd,VWC,True,gravity,user-group,never pay,soft,insufficient,groundwater,communal standpipe
9971,0.0,39.0,Government Of Tanzania,1116,DWE,0,Lake Rukwa,Muungano,Rukwa,70.0,False,GeoData Consultants Ltd,Water authority,True,gravity,commercial,never pay,soft,enough,groundwater,communal standpipe
57508,300.0,15.0,Ki,875,Ki,0,Wami / Ruvu,Shuleni,Morogoro,350.0,True,GeoData Consultants Ltd,VWC,True,handpump,user-group,on failure,soft,insufficient,groundwater,hand pump
25872,0.0,unknown,World Vision,0,Consuting Engineer,0,Internal,Mwakabata,Tabora,<built-in function zeros>,False,GeoData Consultants Ltd,VWC,False,handpump,user-group,never pay,soft,enough,groundwater,hand pump
43978,100.0,37.0,Government Of Tanzania,2116,Commu,0,Rufiji,Makusi,Iringa,<built-in function zeros>,True,GeoData Consultants Ltd,VWC,False,gravity,user-group,on failure,soft,enough,groundwater,communal standpipe
38181,500.0,25.0,Government Of Tanzania,2576,Commu,0,Lake Nyasa,Lusiva,Iringa,<built-in function zeros>,True,GeoData Consultants Ltd,VWC,False,gravity,user-group,on failure,soft,enough,groundwater,communal standpipe
24325,0.0,5.0,African,344,Kuwait,0,Wami / Ruvu,Mtakuja,Morogoro,20.0,True,GeoData Consultants Ltd,VWC,True,other,user-group,never pay,soft,enough,groundwater,hand pump
2724,0.0,unknown,Hesawa,0,HESAWA,0,Lake Victoria,Mahiyoro,Kagera,<built-in function zeros>,True,GeoData Consultants Ltd,VWC,True,gravity,user-group,never pay,soft,insufficient,surface,communal standpipe
34794,0.0,33.0,Government Of Tanzania,1006,DWE,0,Lake Rukwa,Igongwe,Rukwa,50.0,False,GeoData Consultants Ltd,Water authority,True,gravity,commercial,never pay,soft,enough,groundwater,communal standpipe
56525,0.0,unknown,Adp,0,WEDECO,0,Internal,Isagehe Center,Shinyanga,<built-in function zeros>,True,GeoData Consultants Ltd,VWC,True,gravity,user-group,per bucket,soft,enough,groundwater,communal standpipe
63155,0.0,unknown,Si,0,SI,0,Lake Victoria,Kiga,Kagera,<built-in function zeros>,True,GeoData Consultants Ltd,VWC,True,submersible,user-group,never pay,soft,enough,groundwater,communal standpipe
67247,10.0,7.0,France,1633,LVA Ltd,0,Wami / Ruvu,Msewe,Morogoro,60.0,True,GeoData Consultants Ltd,VWC,True,gravity,user-group,per bucket,soft,enough,surface,communal standpipe
23387,0.0,2.0,Government Of Tanzania,24,DWE,0,Ruvuma / Southern Coast,Msitu Wa Simba B,Lindi,390.0,True,GeoData Consultants Ltd,unknown,True,handpump,user-group,never pay,soft,enough,groundwater,hand pump
17873,0.0,unknown,unknown,0,unknown,0,Lake Tanganyika,Mponda,Shinyanga,<built-in function zeros>,unknown,GeoData Consultants Ltd,unknown,False,other,unknown,unknown,unknown,unknown,unknown,hand pump
18197,0.0,2.0,Kkkt,1569,Villagers,0,Rufiji,Nyamande A,Iringa,40.0,True,GeoData Consultants Ltd,VWC,False,handpump,user-group,never pay,soft,enough,groundwater,hand pump
24834,250.0,14.0,Kadp,1610,KADP,0,Lake Tanganyika,Kabuye,Kigoma,650.0,True,GeoData Consultants Ltd,Water authority,True,gravity,user-group,monthly,soft,enough,groundwater,communal standpipe
4091,500.0,40.0,Government Of Tanzania,1504,DWE,0,Pangani,Mtii,Tanga,1.0,True,GeoData Consultants Ltd,VWC,True,gravity,user-group,monthly,soft,enough,groundwater,communal standpipe
33261,0.0,unknown,unknown,0,unknown,0,Lake Nyasa,Itete,Mbeya,<built-in function zeros>,True,GeoData Consultants Ltd,VWC,unknown,gravity,user-group,unknown,soft,unknown,groundwater,communal standpipe
44384,20.0,19.0,Village Council/ Haydom Luther,1721,Village Council,0,Internal,Mji B,Manyara,192.0,True,GeoData Consultants Ltd,VWC,True,submersible,user-group,per bucket,soft,enough,groundwater,communal standpipe
62096,0.0,unknown,Tdft,0,TDFT,0,Lake Tanganyika,Malumba,Tabora,<built-in function zeros>,False,GeoData Consultants Ltd,VWC,True,other,user-group,never pay,soft,dry,groundwater,other
64554,100.0,3.0,0,78,0,0,Wami / Ruvu,Mtaa Wa Lukooni,Dar es Salaam,250.0,unknown,GeoData Consultants Ltd,Private operator,False,submersible,commercial,per bucket,soft,enough,groundwater,communal standpipe
68314,1000.0,29.0,Danida,1620,DANID,0,Rufiji,Kimwanyula,Iringa,1.0,True,GeoData Consultants Ltd,VWC,True,gravity,user-group,monthly,soft,enough,groundwater,communal standpipe
53,50.0,13.0,Government Of Tanzania,1414,DWE,0,Pangani,Sakei,Arusha,200.0,True,GeoData Consultants Ltd,VWC,True,gravity,user-group,per bucket,soft,insufficient,groundwater,communal standpipe
23426,0.0,unknown,unknown,0,unknown,0,Lake Nyasa,Ipyana,Mbeya,<built-in function zeros>,True,GeoData Consultants Ltd,VWC,unknown,gravity,user-group,never pay,soft,enough,groundwater,communal standpipe
38259,0.0,29.0,Norad,1982,Norad,0,Lake Tanganyika,Mission,Rukwa,<built-in function zeros>,True,GeoData Consultants Ltd,VWC,True,gravity,user-group,never pay,soft,dry,surface,communal standpipe
16631,100.0,15.0,Danida,876,DANIDA,0,Ruvuma / Southern Coast,Kidalini,Ruvuma,200.0,True,GeoData Consultants Ltd,WUG,False,handpump,user-group,monthly,soft,insufficient,groundwater,hand pump
43162,0.0,13.0,unknown,1623,unknown,0,Internal,Makiungu,Singida,25.0,True,GeoData Consultants Ltd,Company,unknown,submersible,commercial,never pay,soft,insufficient,groundwater,communal standpipe
44492,0.0,unknown,Hesawa,0,DWE,0,Lake Victoria,Kyamabere,Kagera,<built-in function zeros>,True,GeoData Consultants Ltd,VWC,True,handpump,user-group,never pay,soft,insufficient,groundwater,hand pump
38884,0.0,unknown,Rw Ssp,0,DWE,0,Internal,Mwamala,Shinyanga,<built-in function zeros>,False,GeoData Consultants Ltd,VWC,False,gravity,user-group,unknown,soft,insufficient,surface,communal standpipe
13690,100.0,7.0,Franc,472,Mviwa,0,Wami / Ruvu,Tonya,Morogoro,250.0,True,GeoData Consultants Ltd,VWC,True,gravity,user-group,monthly,soft,enough,surface,communal standpipe
60335,0.0,41.0,Government Of Tanzania,1639,DWE,0,Pangani,Makami Juu,Kilimanjaro,70.0,unknown,GeoData Consultants Ltd,Other,True,gravity,other,never pay,soft,enough,surface,communal standpipe
31856,0.0,unknown,Rwssp,0,DWE,0,Lake Tanganyika,Kangeme No. 3,Shinyanga,<built-in function zeros>,True,GeoData Consultants Ltd,unknown,True,handpump,user-group,unknown,soft,insufficient,groundwater,hand pump
67891,20.0,1.0,Wua,173,WU,0,Wami / Ruvu,Mbala,Pwani,150.0,True,GeoData Consultants Ltd,WUA,True,submersible,user-group,per bucket,soft,enough,surface,communal standpipe
25564,0.0,27.0,Unice,697,DWE,0,Lake Nyasa,Kingole,Iringa,60.0,True,GeoData Consultants Ltd,VWC,False,gravity,user-group,never pay,soft,enough,groundwater,communal standpipe
55293,0.0,27.0,Kkkt,1989,Commu,0,Lake Nyasa,Singida,Iringa,<built-in function zeros>,True,GeoData Consultants Ltd,VWC,False,gravity,user-group,never pay,soft,enough,groundwater,communal standpipe
31866,5.0,6.0,Ces (gmbh),1093,DWE,0,Pangani,Muyuni,Kilimanjaro,20.0,True,GeoData Consultants Ltd,Water Board,True,gravity,user-group,per bucket,soft,enough,surface,communal standpipe
71178,0.0,unknown,Kkkt,0,KKKT,0,Lake Rukwa,Mawanga,Mbeya,<built-in function zeros>,True,GeoData Consultants Ltd,VWC,False,handpump,user-group,on failure,soft,enough,groundwater,hand pump
60279,0.0,9.0,Fathe,2012,Villa,0,Rufiji,Kati,Iringa,80.0,True,GeoData Consultants Ltd,VWC,True,gravity,user-group,never pay,soft,enough,groundwater,communal standpipe
28615,500.0,11.0,Bruder,1274,BRUDER,0,Lake Nyasa,Mbuyula,Ruvuma,260.0,True,GeoData Consultants Ltd,Water Board,True,gravity,user-group,monthly,soft,enough,groundwater,communal standpipe
8744,100.0,9.0,Government Of Tanzania,2132,Commu,0,Lake Nyasa,Ikovo,Iringa,<built-in function zeros>,True,GeoData Consultants Ltd,VWC,False,gravity,user-group,monthly,soft,enough,groundwater,communal standpipe
48308,0.0,unknown,Adp,0,WEDECO,0,Lake Tanganyika,Swizi,Shinyanga,<built-in function zeros>,True,GeoData Consultants Ltd,VWC,True,gravity,user-group,per bucket,soft,enough,groundwater,communal standpipe
