id,amount_tsh,days_since_recorded,funder,gps_height,installer,basin,region,population,public_meeting,scheme_management,permit,construction_year,extraction_type_class,management_group,payment_type,water_quality,quantity,source_class,waterpoint_type_group
28330,0.0,423,other,0,dwe,Lake Tanganyika,Shinyanga,0,True,other,True,unknown,gravity,parastatal,unknown,soft,seasonal,surface,communal standpipe
18532,0.0,304,other,368,other,Ruvuma / Southern Coast,Mtwara,300,True,water_board,True,80s,submersible,user-group,never pay,soft,dry,groundwater,communal standpipe
69961,0.0,266,other,-27,other,Wami / Ruvu,Dar es Salaam,120,True,other,False,10s,submersible,other,never pay,soft,enough,groundwater,communal standpipe
55083,0.0,1002,other,1674,dwe,Rufiji,Iringa,30,True,vwc,False,00s,gravity,user-group,never pay,soft,insufficient,groundwater,communal standpipe
8691,0.0,302,other,1087,dwe,Lake Tanganyika,Kigoma,1750,True,vwc,True,00s,other,user-group,unknown,milky,enough,groundwater,other
30331,0.0,297,other,1441,other,Internal,Singida,1,True,vwc,unknown,70s,motorpump,user-group,unknown,unknown,dry,groundwater,communal standpipe
70970,0.0,422,other,0,dwe,Lake Victoria,Shinyanga,0,True,wug,False,unknown,handpump,user-group,never pay,soft,enough,groundwater,hand pump
61136,200.0,1014,other,1726,dwe,Rufiji,Iringa,50,True,vwc,False,00s,gravity,user-group,monthly,soft,enough,groundwater,communal standpipe
28799,0.0,288,other,986,dwe,Ruvuma / Southern Coast,Ruvuma,0,True,vwc,True,00s,gravity,user-group,never pay,soft,dry,surface,communal standpipe
46825,0.0,968,other,0,other,Wami / Ruvu,Dodoma,0,True,vwc,False,unknown,motorpump,user-group,per bucket,salty,dry,groundwater,communal standpipe
44718,0.0,302,other,0,dwe,Lake Victoria,Shinyanga,0,True,wug,False,unknown,handpump,user-group,on failure,salty abandoned,enough,groundwater,hand pump
37350,0.0,286,other,1309,other,Internal,Manyara,860,True,vwc,False,00s,gravity,user-group,never pay,soft,seasonal,surface,communal standpipe
65738,5.0,0,other,1564,other,Internal,Arusha,200,True,vwc,True,00s,gravity,user-group,per bucket,soft,enough,surface,communal standpipe
3271,0.0,400,government,0,dwe,Internal,Tabora,0,False,vwc,True,unknown,motorpump,user-group,never pay,soft,enough,groundwater,communal standpipe
42658,0.0,393,other,0,other,Lake Tanganyika,Tabora,0,True,vwc,True,unknown,handpump,user-group,never pay,soft,seasonal,groundwater,hand pump
67523,20.0,265,other,1537,other,Internal,Arusha,300,True,vwc,True,90s,gravity,user-group,per bucket,coloured,enough,surface,communal standpipe
37034,500.0,982,other,1489,dwe,Rufiji,Iringa,360,True,wua,True,70s,gravity,user-group,monthly,soft,enough,surface,communal standpipe
42432,500.0,883,other,1798,dwe,Rufiji,Iringa,45,True,wua,True,70s,gravity,user-group,monthly,soft,enough,surface,communal standpipe
27420,0.0,995,other,0,dwe,Pangani,Tanga,200,True,vwc,True,70s,gravity,user-group,never pay,coloured,insufficient,groundwater,communal standpipe
707,1000.0,284,government,1642,other,Pangani,Kilimanjaro,45,True,wua,False,70s,gravity,user-group,monthly,soft,enough,groundwater,communal standpipe
48489,0.0,1010,other,362,dwe,Wami / Ruvu,Morogoro,1,True,vwc,True,80s,gravity,user-group,never pay,soft,insufficient,surface,communal standpipe
51008,0.0,979,danida,0,danida,Lake Rukwa,Mbeya,0,True,vwc,False,unknown,gravity,user-group,on failure,soft,dry,surface,communal standpipe
72562,50.0,300,other,128,other,Ruvuma / Southern Coast,Mtwara,400,True,vwc,True,00s,submersible,user-group,per bucket,soft,enough,groundwater,communal standpipe
10275,0.0,990,government,216,dwe,Pangani,Tanga,120,True,vwc,False,80s,handpump,user-group,never pay,soft,insufficient,groundwater,hand pump
53540,0.0,417,world_bank,0,other,Lake Victoria,Shinyanga,0,True,vwc,True,unknown,other,user-group,never pay,soft,enough,groundwater,communal standpipe
43291,0.0,842,other,0,other,Lake Victoria,Mwanza,0,True,vwc,True,unknown,handpump,user-group,never pay,unknown,dry,groundwater,hand pump
8813,0.0,859,other,0,dwe,Lake Victoria,Mwanza,0,True,vwc,True,unknown,submersible,user-group,per bucket,soft,enough,surface,communal standpipe
62343,0.0,975,government,0,other,Rufiji,Mbeya,0,True,vwc,True,unknown,gravity,user-group,on failure,soft,dry,surface,communal standpipe
1649,0.0,414,other,0,other,Lake Tanganyika,Tabora,0,True,vwc,True,unknown,handpump,user-group,on failure,soft,enough,groundwater,hand pump
8822,50.0,274,other,1010,other,Pangani,Kilimanjaro,180,True,water_authority,True,00s,submersible,user-group,per bucket,salty,insufficient,groundwater,communal standpipe
10352,0.0,966,other,0,other,Rufiji,Mbeya,0,False,vwc,False,unknown,gravity,user-group,on failure,soft,enough,surface,communal standpipe
50878,0.0,413,government,0,government,Lake Victoria,Shinyanga,0,True,water_authority,False,unknown,gravity,commercial,monthly,soft,enough,surface,communal standpipe
15266,0.0,864,other,0,other,Lake Nyasa,Mbeya,0,True,vwc,unknown,unknown,gravity,user-group,never pay,soft,enough,groundwater,communal standpipe
51956,0.0,991,government,1190,dwe,Pangani,Tanga,1,True,vwc,True,70s,gravity,user-group,never pay,soft,enough,groundwater,communal standpipe
44099,1500.0,297,danida,642,danida,Ruvuma / Southern Coast,Ruvuma,1,True,vwc,False,90s,handpump,user-group,monthly,soft,insufficient,groundwater,hand pump
59,0.0,414,other,0,dwe,Internal,Shinyanga,0,True,vwc,True,unknown,gravity,user-group,per bucket,soft,insufficient,groundwater,communal standpipe
51359,0.0,318,other,-5,dwe,Ruvuma / Southern Coast,Lindi,530,unknown,vwc,False,00s,submersible,user-group,unknown,soft,unknown,groundwater,communal standpipe
15962,0.0,855,hesawa,0,other,Lake Victoria,Mwanza,0,True,vwc,True,unknown,other,user-group,unknown,unknown,dry,groundwater,other
17853,0.0,849,hesawa,1226,dwe,Lake Victoria,Mwanza,1200,True,other,True,90s,gravity,user-group,never pay,soft,insufficient,groundwater,improved spring
42040,0.0,248,government,1387,government,Pangani,Kilimanjaro,1,True,wua,True,70s,gravity,user-group,never pay,soft,insufficient,groundwater,communal standpipe
72243,0.0,294,danida,805,danida,Rufiji,Ruvuma,250,True,wug,False,90s,handpump,user-group,on failure,soft,enough,groundwater,hand pump
63653,0.0,250,world_bank,1544,dwe,Pangani,Arusha,200,True,vwc,True,00s,gravity,user-group,never pay,soft,insufficient,groundwater,communal standpipe
26510,0.0,416,other,0,other,Internal,Shinyanga,0,True,wug,False,unknown,handpump,user-group,other,soft,enough,groundwater,hand pump
72053,0.0,855,other,0,other,Lake Victoria,Kagera,0,True,vwc,False,unknown,gravity,user-group,never pay,soft,insufficient,groundwater,other
29351,500.0,410,other,1369,other,Lake Victoria,Mara,560,True,vwc,True,10s,handpump,user-group,monthly,soft,enough,groundwater,hand pump
51897,0.0,308,other,1584,other,Internal,Singida,1,True,vwc,unknown,90s,other,user-group,unknown,unknown,dry,groundwater,other
20376,2400.0,1005,danida,1609,dwe,Rufiji,Iringa,0,True,vwc,True,unknown,handpump,user-group,annually,soft,enough,groundwater,hand pump
26804,1000.0,986,other,334,dwe,Rufiji,Morogoro,230,True,other,True,10s,handpump,user-group,monthly,soft,enough,groundwater,hand pump
67303,0.0,259,government,1070,dwe,Pangani,Arusha,150,True,vwc,True,80s,gravity,user-group,never pay,soft,enough,groundwater,other
69780,0.0,288,government,1286,other,Pangani,Kilimanjaro,1,True,other,True,60s,gravity,commercial,monthly,soft,insufficient,groundwater,communal standpipe
45374,0.0,290,other,0,dwe,Lake Victoria,Mwanza,0,unknown,wug,False,unknown,handpump,user-group,unknown,soft,enough,groundwater,hand pump
54665,7.0,261,other,1624,other,Pangani,Kilimanjaro,1,True,water_board,True,00s,gravity,user-group,per bucket,soft,enough,groundwater,communal standpipe
39341,500.0,295,government,1282,government,Lake Tanganyika,Kigoma,950,True,water_authority,False,70s,submersible,user-group,other,soft,enough,groundwater,communal standpipe
8869,500.0,303,danida,462,danida,Ruvuma / Southern Coast,Ruvuma,1,True,vwc,False,80s,gravity,user-group,monthly,soft,enough,surface,communal standpipe
20691,0.0,970,other,0,other,Lake Rukwa,Mbeya,0,True,vwc,False,unknown,handpump,user-group,on failure,soft,insufficient,groundwater,hand pump
19693,0.0,287,other,1571,other,Internal,Manyara,221,True,vwc,True,00s,gravity,user-group,never pay,soft,dry,groundwater,communal standpipe
14321,0.0,836,other,1546,dwe,Lake Rukwa,Rukwa,50,True,vwc,False,80s,handpump,user-group,never pay,soft,enough,groundwater,hand pump
63059,0.0,298,government,0,government,Lake Victoria,Shinyanga,0,True,wug,False,unknown,gravity,user-group,per bucket,soft,insufficient,groundwater,communal standpipe
67403,1000.0,1004,government,-7,dwe,Pangani,Tanga,25,True,vwc,False,00s,gravity,user-group,never pay,soft,insufficient,groundwater,communal standpipe
28912,7.0,257,other,1133,other,Pangani,Kilimanjaro,125,True,water_board,True,00s,gravity,user-group,per bucket,soft,enough,groundwater,communal standpipe
12549,0.0,999,world_bank,0,other,Internal,Dodoma,0,True,vwc,True,unknown,motorpump,user-group,per bucket,soft,enough,groundwater,communal standpipe
24328,500.0,272,government,900,other,Pangani,Kilimanjaro,80,True,water_board,True,70s,gravity,user-group,monthly,soft,insufficient,groundwater,other
13750,0.0,401,other,0,other,Lake Tanganyika,Tabora,0,True,vwc,True,unknown,handpump,user-group,never pay,soft,enough,groundwater,hand pump
1574,0.0,986,government,1237,dwe,Pangani,Tanga,1,True,vwc,True,60s,gravity,user-group,never pay,soft,enough,groundwater,communal standpipe
44149,0.0,879,hesawa,0,dwe,Lake Victoria,Kagera,0,True,vwc,True,unknown,handpump,user-group,never pay,soft,insufficient,groundwater,hand pump
53917,0.0,877,hesawa,0,dwe,Lake Victoria,Kagera,0,True,wua,True,unknown,gravity,user-group,annually,soft,enough,groundwater,communal standpipe
22705,0.0,183,government,1388,other,Pangani,Arusha,98,True,vwc,True,00s,gravity,user-group,unknown,soft,insufficient,groundwater,communal standpipe
66465,0.0,404,other,0,dwe,Lake Tanganyika,Shinyanga,0,True,other,True,unknown,gravity,parastatal,unknown,soft,seasonal,surface,communal standpipe
15644,0.0,861,other,0,dwe,Lake Victoria,Kagera,0,True,vwc,True,unknown,gravity,user-group,never pay,soft,insufficient,surface,communal standpipe
20773,0.0,979,government,0,other,Internal,Dodoma,0,True,vwc,False,unknown,motorpump,user-group,never pay,soft,enough,groundwater,communal standpipe
33092,0.0,987,other,774,other,Rufiji,Morogoro,300,unknown,other,True,unknown,gravity,other,never pay,soft,enough,groundwater,communal standpipe
54392,7500.0,291,other,677,other,Pangani,Kilimanjaro,320,True,other,False,10s,motorpump,commercial,annually,unknown,enough,surface,communal standpipe
37850,50.0,989,other,105,dwe,Wami / Ruvu,Pwani,1,True,water_authority,True,10s,motorpump,user-group,per bucket,soft,enough,surface,communal standpipe
5576,2000.0,1023,other,1764,other,Rufiji,Iringa,1,True,vwc,True,00s,handpump,user-group,never pay,soft,enough,groundwater,hand pump
60840,0.0,293,other,1182,dwe,Internal,Manyara,72,True,vwc,True,90s,gravity,user-group,never pay,soft,insufficient,groundwater,communal standpipe
9971,0.0,871,government,1116,dwe,Lake Rukwa,Rukwa,70,False,water_authority,True,70s,gravity,commercial,never pay,soft,enough,groundwater,communal standpipe
57508,300.0,993,other,875,other,Wami / Ruvu,Morogoro,350,True,vwc,True,90s,handpump,user-group,on failure,soft,insufficient,groundwater,hand pump
25872,0.0,411,other,0,other,Internal,Tabora,0,False,vwc,False,unknown,handpump,user-group,never pay,soft,enough,groundwater,hand pump
43978,100.0,990,government,2116,commu,Rufiji,Iringa,0,True,vwc,False,70s,gravity,user-group,on failure,soft,enough,groundwater,communal standpipe
38181,500.0,997,government,2576,commu,Lake Nyasa,Iringa,0,True,vwc,False,80s,gravity,user-group,on failure,soft,enough,groundwater,communal standpipe
24325,0.0,995,other,344,other,Wami / Ruvu,Morogoro,20,True,vwc,True,00s,other,user-group,never pay,soft,enough,groundwater,hand pump
2724,0.0,875,hesawa,0,other,Lake Victoria,Kagera,0,True,vwc,True,unknown,gravity,user-group,never pay,soft,insufficient,surface,communal standpipe
34794,0.0,865,government,1006,dwe,Lake Rukwa,Rukwa,50,False,water_authority,True,70s,gravity,commercial,never pay,soft,enough,groundwater,communal standpipe
56525,0.0,426,other,0,other,Internal,Shinyanga,0,True,vwc,True,unknown,gravity,user-group,per bucket,soft,enough,groundwater,communal standpipe
63155,0.0,858,other,0,other,Lake Victoria,Kagera,0,True,vwc,True,unknown,submersible,user-group,never pay,soft,enough,groundwater,communal standpipe
67247,10.0,1008,other,1633,other,Wami / Ruvu,Morogoro,60,True,vwc,True,00s,gravity,user-group,per bucket,soft,enough,surface,communal standpipe
23387,0.0,311,government,24,dwe,Ruvuma / Southern Coast,Lindi,390,True,other,True,10s,handpump,user-group,never pay,soft,enough,groundwater,hand pump
17873,0.0,410,other,0,other,Lake Tanganyika,Shinyanga,0,unknown,other,False,unknown,other,unknown,unknown,unknown,unknown,unknown,hand pump
18197,0.0,914,other,1569,other,Rufiji,Iringa,40,True,vwc,False,00s,handpump,user-group,never pay,soft,enough,groundwater,hand pump
24834,250.0,290,other,1610,other,Lake Tanganyika,Kigoma,650,True,water_authority,True,90s,gravity,user-group,monthly,soft,enough,groundwater,communal standpipe
4091,500.0,1001,government,1504,dwe,Pangani,Tanga,1,True,vwc,True,70s,gravity,user-group,monthly,soft,enough,groundwater,communal standpipe
33261,0.0,960,other,0,other,Lake Nyasa,Mbeya,0,True,vwc,unknown,unknown,gravity,user-group,unknown,soft,unknown,groundwater,communal standpipe
44384,20.0,299,other,1721,other,Internal,Manyara,192,True,vwc,True,90s,submersible,user-group,per bucket,soft,enough,groundwater,communal standpipe
62096,0.0,358,other,0,other,Lake Tanganyika,Tabora,0,False,vwc,True,unknown,other,user-group,never pay,soft,dry,groundwater,other
64554,100.0,263,other,78,other,Wami / Ruvu,Dar es Salaam,250,unknown,other,False,10s,submersible,commercial,per bucket,soft,enough,groundwater,communal standpipe
68314,1000.0,1008,danida,1620,other,Rufiji,Iringa,1,True,vwc,True,80s,gravity,user-group,monthly,soft,enough,groundwater,communal standpipe
53,50.0,243,government,1414,dwe,Pangani,Arusha,200,True,vwc,True,00s,gravity,user-group,per bucket,soft,insufficient,groundwater,communal standpipe
23426,0.0,974,other,0,other,Lake Nyasa,Mbeya,0,True,vwc,unknown,unknown,gravity,user-group,never pay,soft,enough,groundwater,communal standpipe
38259,0.0,308,other,1982,other,Lake Tanganyika,Rukwa,0,True,vwc,True,80s,gravity,user-group,never pay,soft,dry,surface,communal standpipe
16631,100.0,277,danida,876,danida,Ruvuma / Southern Coast,Ruvuma,200,True,wug,False,90s,handpump,user-group,monthly,soft,insufficient,groundwater,hand pump
43162,0.0,310,other,1623,other,Internal,Singida,25,True,other,unknown,00s,submersible,commercial,never pay,soft,insufficient,groundwater,communal standpipe
44492,0.0,877,hesawa,0,dwe,Lake Victoria,Kagera,0,True,vwc,True,unknown,handpump,user-group,never pay,soft,insufficient,groundwater,hand pump
38884,0.0,415,other,0,dwe,Internal,Shinyanga,0,False,vwc,False,unknown,gravity,user-group,unknown,soft,insufficient,surface,communal standpipe
13690,100.0,988,other,472,other,Wami / Ruvu,Morogoro,250,True,vwc,True,00s,gravity,user-group,monthly,soft,enough,surface,communal standpipe
60335,0.0,260,government,1639,dwe,Pangani,Kilimanjaro,70,unknown,other,True,70s,gravity,other,never pay,soft,enough,surface,communal standpipe
31856,0.0,423,rwssp,0,dwe,Lake Tanganyika,Shinyanga,0,True,other,True,unknown,handpump,user-group,unknown,soft,insufficient,groundwater,hand pump
67891,20.0,997,other,173,other,Wami / Ruvu,Pwani,150,True,wua,True,10s,submersible,user-group,per bucket,soft,enough,surface,communal standpipe
25564,0.0,1007,other,697,dwe,Lake Nyasa,Iringa,60,True,vwc,False,80s,gravity,user-group,never pay,soft,enough,groundwater,communal standpipe
55293,0.0,1011,other,1989,commu,Lake Nyasa,Iringa,0,True,vwc,False,80s,gravity,user-group,never pay,soft,enough,groundwater,communal standpipe
31866,5.0,248,other,1093,dwe,Pangani,Kilimanjaro,20,True,water_board,True,00s,gravity,user-group,per bucket,soft,enough,surface,communal standpipe
71178,0.0,867,other,0,other,Lake Rukwa,Mbeya,0,True,vwc,False,unknown,handpump,user-group,on failure,soft,enough,groundwater,hand pump
60279,0.0,1005,other,2012,other,Rufiji,Iringa,80,True,vwc,True,00s,gravity,user-group,never pay,soft,enough,groundwater,communal standpipe
28615,500.0,264,other,1274,other,Lake Nyasa,Ruvuma,260,True,water_board,True,00s,gravity,user-group,monthly,soft,enough,groundwater,communal standpipe
8744,100.0,1008,government,2132,commu,Lake Nyasa,Iringa,0,True,vwc,False,00s,gravity,user-group,monthly,soft,enough,groundwater,communal standpipe
48308,0.0,426,other,0,other,Lake Tanganyika,Shinyanga,0,True,vwc,True,unknown,gravity,user-group,per bucket,soft,enough,groundwater,communal standpipe
49626,0.0,390,other,1287,other,Lake Victoria,Mara,200,True,wua,True,70s,gravity,user-group,unknown,soft,dry,surface,communal standpipe
38098,0.0,61,other,1306,other,Internal,Arusha,250,True,vwc,True,10s,gravity,user-group,unknown,soft,insufficient,groundwater,communal standpipe
30309,0.0,307,other,1339,dwe,Lake Victoria,Shinyanga,250,True,wug,False,90s,handpump,user-group,never pay,soft,enough,groundwater,hand pump
8015,0.0,867,other,0,other,Lake Victoria,Mwanza,0,True,other,True,unknown,handpump,commercial,never pay,salty,enough,groundwater,hand pump
3496,0.0,960,world_bank,0,other,Wami / Ruvu,Morogoro,189,True,vwc,True,00s,submersible,user-group,never pay,salty,enough,groundwater,communal standpipe
56971,0.0,991,government,1193,dwe,Pangani,Tanga,1,True,vwc,True,10s,handpump,user-group,never pay,salty,enough,groundwater,hand pump
68616,0.0,868,other,0,other,Lake Victoria,Mwanza,0,True,vwc,True,unknown,handpump,user-group,never pay,soft,insufficient,groundwater,hand pump
8646,0.0,288,danida,1042,danida,Lake Nyasa,Ruvuma,180,True,wug,False,80s,handpump,user-group,on failure,soft,insufficient,groundwater,hand pump
74104,0.0,995,other,0,other,Rufiji,Dodoma,0,True,vwc,True,unknown,motorpump,user-group,unknown,soft,insufficient,groundwater,communal standpipe
37501,50.0,313,other,720,other,Ruvuma / Southern Coast,Mtwara,850,True,vwc,False,90s,gravity,user-group,per bucket,soft,insufficient,groundwater,communal standpipe
33001,0.0,419,other,0,other,Internal,Tabora,0,False,water_authority,True,unknown,submersible,commercial,never pay,coloured,insufficient,surface,communal standpipe
69202,0.0,283,other,1682,other,Pangani,Kilimanjaro,1,True,other,True,00s,gravity,commercial,monthly,soft,enough,groundwater,communal standpipe
68409,5.0,262,other,942,other,Pangani,Kilimanjaro,50,True,water_board,True,90s,gravity,user-group,per bucket,soft,enough,groundwater,communal standpipe
51847,0.0,990,government,0,other,Wami / Ruvu,Dodoma,0,True,vwc,True,unknown,motorpump,user-group,unknown,soft,dry,groundwater,communal standpipe
55647,0.0,417,other,0,other,Internal,Shinyanga,0,True,wug,True,unknown,handpump,user-group,never pay,soft,dry,groundwater,hand pump
17923,0.0,856,hesawa,1171,dwe,Lake Victoria,Mwanza,350,True,other,True,90s,handpump,user-group,never pay,coloured,seasonal,groundwater,hand pump
71743,50.0,1011,other,110,dwe,Wami / Ruvu,Pwani,100,True,other,True,80s,motorpump,user-group,per bucket,soft,dry,surface,other
51539,0.0,297,other,0,dwe,Lake Victoria,Shinyanga,0,unknown,wug,False,unknown,handpump,user-group,unknown,soft,enough,groundwater,hand pump
73819,0.0,977,other,0,commu,Rufiji,Dodoma,0,True,vwc,False,unknown,motorpump,user-group,per bucket,soft,enough,groundwater,communal standpipe
66881,0.0,956,other,0,other,Lake Nyasa,Mbeya,0,True,vwc,False,unknown,handpump,user-group,on failure,soft,enough,groundwater,hand pump
58768,0.0,297,other,951,dwe,Lake Tanganyika,Kigoma,300,True,vwc,True,90s,handpump,user-group,unknown,soft,enough,groundwater,hand pump
2648,0.0,879,other,0,other,Lake Tanganyika,Kagera,0,True,vwc,True,unknown,gravity,user-group,never pay,soft,insufficient,groundwater,communal standpipe
68933,500.0,123,danida,439,danida,Lake Nyasa,Ruvuma,96,unknown,vwc,True,90s,gravity,user-group,monthly,soft,enough,groundwater,communal standpipe
12427,0.0,314,government,1111,dwe,Lake Tanganyika,Kigoma,740,True,water_authority,False,00s,handpump,user-group,never pay,soft,enough,groundwater,hand pump
16633,0.0,851,other,0,other,Lake Rukwa,Mbeya,0,False,vwc,False,unknown,other,user-group,never pay,soft,seasonal,groundwater,other
24123,0.0,1021,other,1827,other,Rufiji,Iringa,400,True,vwc,True,00s,handpump,user-group,never pay,soft,enough,groundwater,hand pump
58551,0.0,969,other,0,commu,Wami / Ruvu,Dodoma,0,True,vwc,False,unknown,motorpump,user-group,per bucket,soft,dry,groundwater,communal standpipe
17132,50.0,992,other,137,other,Wami / Ruvu,Pwani,1,True,water_authority,True,00s,motorpump,user-group,per bucket,soft,enough,surface,communal standpipe
3027,0.0,297,other,1345,dwe,Lake Tanganyika,Kigoma,250,True,vwc,False,10s,submersible,user-group,unknown,soft,insufficient,groundwater,communal standpipe
2651,0.0,292,other,1444,other,Internal,Singida,1,True,vwc,unknown,60s,motorpump,user-group,unknown,unknown,dry,groundwater,communal standpipe
25998,0.0,310,other,212,other,Ruvuma / Southern Coast,Mtwara,300,True,water_board,True,80s,submersible,user-group,never pay,soft,dry,groundwater,communal standpipe
63400,0.0,253,other,1266,other,Pangani,Arusha,500,True,wua,False,10s,gravity,user-group,unknown,soft,insufficient,surface,communal standpipe
50028,0.0,974,other,0,commu,Wami / Ruvu,Dodoma,0,True,vwc,False,unknown,motorpump,user-group,monthly,soft,dry,groundwater,communal standpipe
67897,0.0,285,other,910,other,Pangani,Manyara,200,True,other,True,00s,handpump,user-group,unknown,salty,insufficient,groundwater,hand pump
21425,0.0,846,hesawa,0,other,Lake Victoria,Mwanza,0,unknown,vwc,True,unknown,handpump,user-group,never pay,unknown,unknown,groundwater,hand pump
71756,0.0,409,other,0,other,Internal,Shinyanga,0,True,wug,False,unknown,handpump,user-group,never pay,soft,seasonal,groundwater,hand pump
16862,0.0,254,other,1285,other,Pangani,Kilimanjaro,1,True,water_board,True,00s,gravity,user-group,monthly,soft,enough,groundwater,communal standpipe
15420,0.0,960,other,1570,other,Rufiji,Iringa,30,True,vwc,True,90s,gravity,user-group,never pay,soft,dry,surface,communal standpipe
47784,0.0,853,other,0,other,Lake Victoria,Kagera,0,True,vwc,False,unknown,gravity,user-group,never pay,soft,insufficient,surface,communal standpipe
712,200.0,299,other,379,other,Ruvuma / Southern Coast,Mtwara,150,True,other,True,00s,handpump,parastatal,per bucket,salty,enough,groundwater,hand pump
54368,0.0,846,other,0,other,Lake Victoria,Mwanza,0,True,vwc,True,unknown,other,user-group,never pay,soft,seasonal,groundwater,other
2866,0.0,882,other,0,other,Lake Nyasa,Mbeya,0,True,vwc,unknown,unknown,gravity,user-group,never pay,soft,enough,groundwater,communal standpipe
51130,0.0,422,government,0,government,Internal,Shinyanga,0,True,other,True,unknown,gravity,parastatal,never pay,soft,seasonal,surface,communal standpipe
27993,0.0,995,world_bank,0,dwe,Internal,Dodoma,0,True,vwc,False,unknown,handpump,user-group,never pay,soft,enough,groundwater,hand pump
21621,0.0,321,other,1160,dwe,Lake Tanganyika,Kigoma,590,True,water_authority,False,70s,motorpump,user-group,never pay,soft,enough,groundwater,communal standpipe
66038,50.0,1005,other,40,dwe,Pangani,Tanga,16,False,other,False,00s,submersible,commercial,per bucket,soft,seasonal,groundwater,communal standpipe
42182,50.0,986,other,-8,other,Wami / Ruvu,Pwani,50,True,other,True,00s,submersible,commercial,per bucket,soft,enough,surface,communal standpipe
17694,0.0,304,other,-21,other,Ruvuma / Southern Coast,Mtwara,300,True,other,True,80s,other,user-group,unknown,soft,enough,groundwater,other
57759,4000.0,1017,other,1959,other,Rufiji,Iringa,80,True,vwc,True,00s,gravity,user-group,annually,soft,enough,surface,communal standpipe
47978,3000.0,1001,danida,879,other,Rufiji,Iringa,1,True,vwc,True,90s,gravity,user-group,annually,soft,enough,groundwater,communal standpipe
52359,500.0,256,other,543,other,Pangani,Kilimanjaro,630,True,water_authority,unknown,10s,handpump,user-group,monthly,salty,enough,groundwater,hand pump
69656,1000.0,1005,danida,1440,other,Rufiji,Iringa,210,True,vwc,True,80s,gravity,user-group,monthly,soft,dry,groundwater,communal standpipe
24086,0.0,870,other,0,dwe,Lake Rukwa,Mbeya,0,True,vwc,False,unknown,handpump,user-group,on failure,soft,enough,groundwater,hand pump
43579,0.0,421,other,0,other,Lake Victoria,Shinyanga,0,True,wug,True,unknown,handpump,user-group,never pay,soft,enough,groundwater,hand pump
43284,0.0,250,government,1523,dwe,Pangani,Arusha,150,True,vwc,True,70s,other,user-group,never pay,soft,enough,groundwater,other
2877,0.0,994,other,1097,other,Wami / Ruvu,Morogoro,250,True,vwc,True,80s,handpump,user-group,never pay,salty,dry,groundwater,hand pump
